features,weight
system.cpu.icache.ReadReq_miss_rate::total,-2.3243e-01
system.cpu.icache.demand_miss_rate::total,-2.3243e-01
system.cpu.icache.overall_mshr_hits::total,-2.3788e-01
system.cpu.icache.ReadReq_mshr_hits::total,-2.3788e-01
system.cpu.icache.demand_mshr_hits::total,-2.3788e-01
system.tol2bus.trans_dist::WritebackClean,-2.4399e-01
system.cpu.icache.replacements,-2.4399e-01
system.cpu.icache.writebacks::total,-2.4399e-01
system.l2.WritebackClean_accesses::total,-2.4584e-01
system.l2.WritebackClean_hits::total,-2.4584e-01
system.cpu.icache.demand_mshr_miss_rate::total,-2.8684e-01
system.cpu.icache.overall_mshr_miss_rate::total,-2.8684e-01
system.cpu.icache.ReadReq_mshr_miss_rate::total,-2.8684e-01
system.cpu.dcache.WriteReq_avg_mshr_miss_latency::total,-2.8861e-01
system.membus.snoop_filter.hit_single_requests,-3.0364e-01
system.membus.snoop_filter.tot_requests,-3.0479e-01
system.membus.pkt_count_system.l2.mem_side::total,-3.0683e-01
system.membus.pkt_count_system.l2.mem_side::system.mem_ctrls.port,-3.0683e-01
system.membus.pkt_count::total,-3.0683e-01
system.mem_ctrls.num_reads::total,-3.1089e-01
system.mem_ctrls.bytes_read::total,-3.1089e-01
system.mem_ctrls.readReqs,-3.1089e-01
system.mem_ctrls.bytesReadSys,-3.1089e-01
system.mem_ctrls.readBursts,-3.1089e-01
system.l2.overall_misses::total,-3.1091e-01
system.l2.demand_misses::total,-3.1091e-01
system.l2.demand_mshr_misses::total,-3.1091e-01
system.l2.overall_mshr_misses::total,-3.1091e-01
system.l2.tags.sampled_refs,-3.1163e-01
system.membus.respLayer1.occupancy,-3.2638e-01
system.cpu.iew.lsq.thread0.cacheBlocked,-3.5833e-01
system.cpu.dcache.overall_avg_miss_latency::total,-3.6006e-01
system.cpu.dcache.demand_avg_miss_latency::total,-3.6006e-01
system.tol2bus.snoop_fanout::total,-3.6058e-01
system.tol2bus.snoop_fanout::samples,-3.6058e-01
system.cpu.iq.fu_full::MemRead,-3.7486e-01
system.mem_ctrls_0.totalEnergy,-3.9430e-01
system.l2.tags.data_accesses,-4.0696e-01
system.l2.tags.tag_accesses,-4.0696e-01
system.cpu.icache.demand_miss_latency::total,-4.0871e-01
system.cpu.icache.overall_miss_latency::total,-4.0871e-01
system.cpu.icache.ReadReq_miss_latency::total,-4.0871e-01
system.tol2bus.reqLayer0.utilization,-4.1184e-01
system.tol2bus.snoop_filter.tot_requests,-4.1276e-01
system.l2.tags.total_refs,-4.1519e-01
system.tol2bus.snoop_filter.hit_single_requests,-4.1751e-01
system.cpu.dcache.tags.sampled_refs,-4.1844e-01
system.cpu.dcache.demand_mshr_misses::total,-4.1845e-01
system.cpu.dcache.overall_mshr_misses::total,-4.1845e-01
system.cpu.dcache.tags.occ_percent::total,-4.1982e-01
system.cpu.dcache.tags.tagsinuse,-4.1982e-01
system.l2.demand_accesses::total,-4.2006e-01
system.l2.overall_accesses::total,-4.2006e-01
system.cpu.dcache.overall_misses::total,-4.2710e-01
system.cpu.dcache.demand_misses::total,-4.2710e-01
system.mem_ctrls.bytes_inst_read::total,-4.4409e-01
system.cpu.icache.blocked::no_targets,-4.4723e-01
