features,weight
system.cpu.icache.tags.data_accesses,3.7196e-01
system.l2.tags.tagsinuse,3.6918e-01
system.cpu.iew.lsq.thread0.rescheduledLoads,3.6837e-01
system.l2.ReadExReq_avg_mshr_miss_latency::total,3.6250e-01
system.l2.ReadExReq_avg_miss_latency::total,3.6212e-01
system.cpu.cpi_total,3.5179e-01
system.mem_ctrls_0.memoryStateTime::IDLE,3.5158e-01
system.cpu.iq.fu_busy_rate,3.4890e-01
system.l2.overall_miss_rate::total,3.4784e-01
system.l2.demand_miss_rate::total,3.4784e-01
system.l2.overall_mshr_miss_rate::total,3.4759e-01
system.l2.demand_mshr_miss_rate::total,3.4759e-01
system.cpu.dcache.demand_mshr_miss_rate::total,3.4744e-01
system.cpu.dcache.overall_mshr_miss_rate::total,3.4744e-01
system.cpu.commit.refs,3.4509e-01
system.l2.WritebackClean_hits::total,3.4159e-01
system.l2.WritebackClean_accesses::total,3.4159e-01
system.cpu.fetch.icacheStallCycles,3.4145e-01
system.cpu.icache.writebacks::total,3.3967e-01
system.cpu.icache.replacements,3.3967e-01
system.tol2bus.trans_dist::WritebackClean,3.3967e-01
system.cpu.iew.iewExecSquashedInsts,3.3922e-01
system.mem_ctrls.bytesPerActivate::gmean,3.3859e-01
system.cpu.decode.RunCycles,3.3332e-01
system.cpu.fetch.rateDist::mean,3.3317e-01
system.cpu.fetch.IcacheWaitRetryStallCycles,3.3200e-01
system.l2.ReadCleanReq_mshr_misses::total,3.3001e-01
system.l2.ReadCleanReq_misses::total,3.2979e-01
system.cpu.rename.IdleCycles,3.2945e-01
system.cpu.dcache.blocked_cycles::no_targets,3.2882e-01
system.mem_ctrls.bytes_inst_read::total,3.2856e-01
system.mem_ctrls.rdPerTurnAround::stdev,3.2555e-01
system.cpu.dcache.blocked::no_mshrs,3.2141e-01
system.cpu.iew.exec_stores,3.1728e-01
system.cpu.dtb.wrAccesses,3.1722e-01
system.cpu.dcache.WriteReq_hits::total,3.1558e-01
system.cpu.commit.op_class_0::SimdFloatDiv,3.1316e-01
system.l2.ReadCleanReq_accesses::total,3.1200e-01
system.cpu.icache.demand_mshr_misses::total,3.1092e-01
system.cpu.icache.overall_mshr_misses::total,3.1092e-01
system.cpu.icache.ReadReq_mshr_misses::total,3.1092e-01
system.tol2bus.trans_dist::ReadCleanReq,3.1092e-01
system.tol2bus.respLayer0.occupancy,3.1065e-01
system.cpu.icache.tags.sampled_refs,3.1062e-01
system.cpu.commit.committed_per_cycle::stdev,3.0725e-01
system.cpu.icache.ReadReq_misses::total,3.0150e-01
system.cpu.icache.demand_misses::total,3.0150e-01
system.cpu.icache.overall_misses::total,3.0150e-01
system.mem_ctrls.avgRdQLen,3.0077e-01
system.mem_ctrls.bytesReadWrQ,3.0026e-01
system.mem_ctrls.servicedByWrQ,3.0026e-01
system.cpu.fetch.predictedBranches,2.9932e-01
system.mem_ctrls_0.selfRefreshEnergy,2.9835e-01
system.l2.overall_accesses::total,2.8823e-01
